Frutiger Aqua

Rosewater	#FAD0C4	Glossy Shell
Flamingo	#FBC2EB	Bubblegum Gloss
Pink	#FF99CC	Vivid Plastic
Mauve	#C0A3FF	Liquid Lavender
Red	#FF5D8F	Cherry Candy
Maroon	#FF8A7A	Coral Reef
Peach	#FFB86B	Sunkist Orange
Yellow	#FFE27A	Bright Citrus
Green	#5CFF47	Aero Grass Green
Teal	#00F5D4	Bio-Mint
Sky	#89DCEB	Fresh Oxygen
Sapphire	#00D4FF	Electric Cyan (Secondary Accent)
Blue	#0096FF	True Vista Blue (Primary Aero Accent)
Lavender	#B8C0FF	Digital Silk
Text	#E0FBFF	Glow White
Subtext1	#BDE0FE	Mist Blue
Subtext0	#A2D2FF	Glassy Tint
Overlay2	#6082B6	Steel Blue
Overlay1	#4A6B8A	Deep Sea Glass
Overlay0	#32527B	Frosted Cobalt
Surface2	#244166	Underwater Shade
Surface1	#1C3557	Deep Pool Shadow
Surface0	#162D4A	Dark Water
Base	#0A192F	Abyssal Cobalt (Main BG)
Mantle	#071222	Bottomless Blue
Crust	#050D1A	Pure Midnight
